Distance (m),Elevation (m)
0,1515.949096679688
2.315113802463467,1516.764892578125
4.630227604926934,1517.583129882812
6.945341407390401,1518.40380859375
9.260455209853868,1519.22705078125
11.575569012317334,1519.9111328125
13.890682814780803,1520.2001953125
16.205796617244268,1520.486328125
18.520910419707736,1520.769775390625
20.836024222171204,1521.05029296875
23.15113802463467,1521.328002929688
25.466251827098137,1521.60302734375
27.781365629561606,1521.875122070312
30.09647943202507,1522.144409179688
32.411593234488535,1522.411010742188
34.72670703695201,1522.674682617188
37.04182083941547,1522.935546875
39.35693464187894,1523.193603515625
41.67204844434241,1523.448974609375
43.98716224680587,1523.701416015625
46.30227604926934,1523.951049804688
48.61738985173281,1524.197875976562
50.932503654196275,1524.490112304688
53.24761745665974,1524.883544921875
55.56273125912321,1525.268432617188
57.877845061586676,1525.644897460938
60.19295886405014,1526.012939453125
62.508072666513605,1526.37255859375
64.82318646897707,1526.723754882812
67.13830027144054,1527.066528320312
69.45341407390401,1527.40087890625
71.76852787636747,1527.726806640625
74.08364167883094,1528.044311523438
76.39875548129442,1528.353271484375
78.71386928375787,1528.653930664062
81.02898308622134,1528.946166992188
83.34409688868482,1529.229858398438
85.65921069114827,1529.505249023438
87.97432449361175,1529.772094726562
90.28943829607522,1530.030639648438
92.60455209853868,1530.280639648438
94.91966590100215,1529.765625
97.23477970346562,1528.974975585938
99.54989350592908,1528.192504882812
101.86500730839255,1527.418334960938
104.18012111085602,1526.65234375
106.49523491331948,1525.894653320312
108.81034871578295,1525.145263671875
111.12546251824642,1524.404052734375
113.44057632070988,1523.671020507812
115.75569012317335,1522.946411132812
118.07080392563681,1522.229858398438
120.38591772810028,1521.521728515625
122.70103153056375,1520.82177734375
125.01614533302721,1520.091674804688
127.33125913549068,1519.366821289062
129.64637293795414,1518.655639648438
131.96148674041763,1517.958374023438
134.27660054288108,1517.274658203125
136.59171434534454,1516.604858398438
138.90682814780803,1515.948608398438
141.22194195027149,1515.306274414062
143.53705575273494,1514.677612304688
145.85216955519843,1514.062744140625
148.1672833576619,1513.461547851562
150.48239716012534,1512.874145507812
152.79751096258883,1512.300537109375
155.1126247650523,1511.740600585938
157.42773856751575,1511.1943359375
159.74285236997923,1510.661987304688
162.0579661724427,1510.143310546875
164.37307997490615,1509.638305664062
166.68819377736963,1509.147216796875
169.0033075798331,1508.669677734375
171.31842138229655,1508.2060546875
173.63353518476004,1507.756103515625
175.9486489872235,1507.31982421875
178.26376278968695,1506.897338867188
180.57887659215044,1506.488647460938
182.8939903946139,1506.09375
185.20910419707735,1505.712524414062
187.52421799954084,1505.344970703125
189.8393318020043,1505.155029296875
192.15444560446775,1505.11767578125
194.46955940693124,1505.084350585938
196.7846732093947,1505.055297851562
199.09978701185815,1505.0302734375
201.41490081432164,1505.009399414062
203.7300146167851,1505.029296875
206.04512841924856,1505.093017578125
208.36024222171204,1505.158081054688
210.6753560241755,1505.224609375
212.99046982663896,1505.292358398438
215.30558362910244,1505.361572265625
217.6206974315659,1505.43212890625
219.93581123402936,1505.504150390625
222.25092503649284,1505.577392578125
224.5660388389563,1505.652099609375
226.88115264141976,1505.728271484375
229.19626644388322,1505.8056640625
231.5113802463467,1505.884521484375
233.82649404881016,1505.964721679688
236.14160785127362,1506.046264648438
238.4567216537371,1506.129272460938
240.77183545620056,1506.213500976562
243.08694925866402,1506.299194335938
245.4020630611275,1506.386352539062
247.71717686359096,1506.474731445312
250.03229066605442,1506.564575195312
252.3474044685179,1506.65576171875
254.66251827098137,1506.748413085938
256.97763207344485,1506.84228515625
259.2927458759083,1506.937622070312
261.60785967837177,1507.034301757812
263.92297348083525,1507.13232421875
266.2380872832987,1507.231811523438
268.55320108576217,1507.332641601562
270.86831488822565,1507.434814453125
273.1834286906891,1507.538452148438
275.49854249315257,1507.643310546875
277.81365629561606,1507.74951171875
280.1287700980795,1507.856567382812
282.44388390054297,1507.972778320312
284.75899770300646,1508.169189453125
287.0741115054699,1508.421142578125
289.3892253079334,1508.890380859375
291.70433911039686,1509.36669921875
294.0194529128603,1509.849731445312
296.3345667153238,1510.339599609375
298.64968051778726,1510.836303710938
300.9647943202507,1511.339965820312
303.2799081227142,1511.850341796875
305.59502192517766,1512.36767578125
307.9101357276411,1512.891845703125
310.2252495301046,1513.4228515625
312.54036333256806,1513.960693359375
314.8554771350315,1514.50537109375
317.170590937495,1515.056884765625
319.48570473995846,1515.615356445312
321.8008185424219,1516.180541992188
324.1159323448854,1516.752685546875
326.43104614734887,1517.331665039062
328.7461599498123,1517.91748046875
331.0612737522758,1518.510131835938
333.37638755473927,1519.109619140625
335.6915013572027,1519.715942382812
338.0066151596662,1520.285888671875
340.32172896212967,1520.7998046875
342.6368427645931,1521.3173828125
344.9519565670566,1521.838745117188
347.26707036952007,1522.363647460938
349.5821841719835,1522.892333984375
351.897297974447,1523.424682617188
354.21241177691047,1523.975952148438
356.5275255793739,1524.562622070312
358.8426393818374,1525.149291992188
361.1577531843009,1525.735961914062
363.4728669867643,1526.322631835938
365.7879807892278,1526.909301757812
368.1030945916913,1527.495971679688
370.4182083941547,1528.082641601562
372.7333221966182,1528.669311523438
375.0484359990817,1529.255981445312
377.3635498015451,1529.842651367188
379.6786636040086,1530.429443359375
381.9937774064721,1531.01611328125
384.3088912089355,1531.602783203125
386.624005011399,1532.189453125
388.9391188138625,1532.776123046875
391.2542326163259,1533.36279296875
393.5693464187894,1533.949462890625
395.8844602212529,1534.5361328125
398.1995740237163,1535.122802734375
400.5146878261798,1535.70947265625
402.8298016286433,1536.296142578125
405.1449154311067,1536.882934570312
407.4600292335702,1537.438842773438
409.7751430360337,1537.990478515625
412.0902568384971,1538.54150390625
414.4053706409606,1539.091674804688
416.7204844434241,1539.64111328125
419.0355982458875,1540.208740234375
421.350712048351,1540.8701171875
423.6658258508145,1541.530029296875
425.9809396532779,1542.1884765625
428.2960534557414,1542.845581054688
430.6111672582049,1543.501220703125
432.9262810606683,1544.155517578125
435.2413948631318,1544.808471679688
437.5565086655953,1545.4599609375
439.8716224680587,1546.177978515625
442.1867362705222,1546.95458984375
444.5018500729857,1547.741088867188
446.8169638754491,1548.537353515625
449.1320776779126,1549.343505859375
451.44719148037603,1550.159423828125
453.7623052828395,1550.985229492188
456.077419085303,1551.82080078125
458.39253288776644,1552.666137695312
460.7076466902299,1553.521362304688
463.0227604926934,1554.386352539062
465.33787429515684,1555.26123046875
467.6529880976203,1556.145874023438
469.9681019000838,1557.040283203125
472.28321570254724,1557.944580078125
474.5983295050107,1558.911376953125
476.9134433074742,1559.93408203125
479.22855710993764,1560.970581054688
481.5436709124011,1562.02099609375
483.8587847148646,1563.085083007812
486.17389851732804,1564.1630859375
